_id,מפתח לפוליגון תכנית,מספר תוכנית,שם תוכנית,שלב תכנוני,יזם תכנון,סמל יישוב,יישוב,תאריך קיום תנאי סף,תאריך פרסום להפקדה ברשומות,תאריך פרסום לאישור ברשומות,קישור לאתר רשות מקרקעי ישראל,קישור לאתר מנהל תכנון,יחד פוטנציאל לשיווק
947,2814401,ג/10800,חיילים מ,תוקף,משרד הבינוי והשיכון,502,ירכא,-,02/09/2001,04/02/2002,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2050427,,21
948,2814701,ג/9671,צפון שכ' המורים,תוקף,משרד הבינוי והשיכון,812,שלומי,-,19/09/1997,10/12/1998,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2050358,,70
949,2815001,ג/5956,כלל הישוב שכ מגורים,תוקף,משרד הבינוי והשיכון,540,ריחאניה,-,17/12/1989,14/11/1993,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2002497,,25
950,2815301,ג/3935,חיילים מ,תוקף,משרד הבינוי והשיכון,485,ג'וליס,-,18/02/1988,18/02/1990,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2000772,,1
951,2815501,ג/6400,חיילים מ,תוקף,משרד הבינוי והשיכון,496,חורפיש,-,-,31/12/1992,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2002454,,126
952,2815701,ג/9748,חיילים מ,תוקף,משרד הבינוי והשיכון,525,סאגור,-,21/12/1997,30/06/1998,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2002251,,2
953,2816101,ג/3738,חיילים מ,תוקף,משרד הבינוי והשיכון,481,מגאר,-,-,04/12/1983,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2001384,,15
954,2816201,ג/4245,חיילים מ,תוקף,משרד הבינוי והשיכון,536,פקיעין(בקיעה),-,-,09/02/2000,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2003307,,8
955,2816301,ג/11613,חיילים מ-חלק א,תוקף,משרד הבינוי והשיכון,496,חורפיש,-,25/06/2001,18/05/2005,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2004984,,90
956,2816401,ג/11610,שכ' האורנים,תוקף,משרד הבינוי והשיכון,1063,מעלות תרשיחא,-,21/11/2001,19/05/2013,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2009523,,31
957,2816901,מ/338,שכונה מזרחית,תוקף,משרד הבינוי והשיכון,1247,חריש,-,20/03/2008,18/11/2008,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=3006102,,287
958,2817001,ג/12533,חיילים מ,תוקף,משרד הבינוי והשיכון,8800,שפרעם,-,09/06/2002,23/01/2003,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2050626,,34
959,2817101,מכ/374,תל חנן,תוקף,משרד הבינוי והשיכון,2500,נשר,-,12/11/1992,28/10/1993,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=3001703,,36
960,2817701,ג/10082,חילים משוחררים,תוקף,משרד הבינוי והשיכון,1296,כסרא-סמיע,-,14/10/1999,27/08/2000,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2003684,,69
961,2817901,ג/20450,חמודות דרום 1,תוקף,משרד הבינוי והשיכון,812,שלומי,-,19/05/2013,10/12/2013,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2012474,,177
962,2818101,ג/19781,חמודות דרום 5,תוקף,משרד הבינוי והשיכון,812,שלומי,-,06/08/2012,02/07/2013,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2012060,,366
963,2818301,עד/155,חיילים מ,תוקף,משרד הבינוי והשיכון,534,עספיא,-,20/01/1994,26/10/1995,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=3002595,,18
964,2818501,ג/9378,כמאנה,תוקף,משרד הבינוי והשיכון,1331,כמאנה,-,30/06/1999,03/08/2000,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2003985,,87
965,2818801,מכ/במ/331,שטח הכפר,תוקף,משרד הבינוי והשיכון,2100,טירת הכרמל,-,16/11/1990,24/06/1991,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=3000110,,230
966,2819401,ג/במ/252,מורד הנחל,תוקף,משרד הבינוי והשיכון,812,שלומי,-,31/08/1995,28/02/1996,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2002196,,201
967,2819601,רח/במ/12,דר' למ.וייסגל+ הוס,תוקף,משרד הבינוי והשיכון,8400,רחובות,-,03/11/1996,12/11/1998,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=4010475,,28
968,2820001,גז/במ/3/195,A מתחם,תוקף,משרד הבינוי והשיכון,1309,אלעד,-,05/01/1997,08/12/1998,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=4010435,,48
969,2821401,זמ/במ/145,דרום,תוקף,משרד הבינוי והשיכון,1066,בני עיש,-,30/06/1994,18/12/1994,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=4006868,,36
970,2821601,רש/במ/214/1ב,מורשה-מזרח,תוקף,משרד הבינוי והשיכון,2650,רמת השרון,-,03/06/1991,19/11/1992,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=5002037,,16
971,2822001,גז/במ/1/195,שלב א,תוקף,משרד הבינוי והשיכון,1309,אלעד,-,21/01/1993,13/10/1994,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=4006719,,36
972,2822201,ממ/3108,הוסטל,הפקדה,משרד הבינוי והשיכון,681,גבעת שמואל,-,14/09/1995,-,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=4022248,,120
973,2822401,זמ/589,מזרח,תוקף,משרד הבינוי והשיכון,2550,גדרה,-,12/09/2002,22/07/2003,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=4013254,,40
974,2823401,לד/מק/5/729,נוה שלום -פרדס אמויאל,תוקף,משרד הבינוי והשיכון,7000,לוד,-,26/12/1996,31/03/1998,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=4009913,,6
975,2823501,רנ/275/א,D שטח אש מתחם,תוקף,משרד הבינוי והשיכון,2640,ראש העין,-,19/09/2007,07/01/2013,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=4019418,,1615
976,2823601,רנ/280/א,F שטח אש מתחם,תוקף,משרד הבינוי והשיכון,2640,ראש העין,-,24/12/2009,15/02/2012,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=4018915,,610
977,2823901,גז/14/16,מצליח 1 צפון,תוקף,משרד הבינוי והשיכון,8500,רמלה,-,29/04/2002,03/10/2002,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=4012711,,6
978,2824201,רנ/300/א,E שטח אש מתחם,תוקף,משרד הבינוי והשיכון,2640,ראש העין,-,19/03/2009,06/06/2013,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=4019617,,980
979,2825801,מח/309,דרום מערב 2,תוקף,משרד הבינוי והשיכון,195,קדימה צורן,-,07/10/2014,29/05/2017,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=4022823,,1338
980,2826501,120/02/21,(בן גוריון ב (שפיר,תוקף,משרד הבינוי והשיכון,1031,שדרות,-,23/11/2005,09/08/2006,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6005409,,4
981,2826601,23/במ/3/60,"שפירא ב""ב איחוד מגר",תוקף,משרד הבינוי והשיכון,31,אופקים,-,29/12/1994,30/06/1996,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6002153,,1
982,2826901,2/במ/151,שחמון 4,תוקף,משרד הבינוי והשיכון,2600,אילת,-,10/03/1994,30/10/1994,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6001860,,2
983,2827101,22/במ/46,קרית מנחם,תוקף,משרד הבינוי והשיכון,246,נתיבות,-,28/04/1991,16/01/1992,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6000116,,30
984,2827501,146/03/27,צפון מערבית,הפקדה,משרד הבינוי והשיכון,99,מצפה רמון,28/08/2013,16/10/2017,-,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6009738,,185
985,2828101,26/במ/1/68,שכ מערבית  נוה נוף,תוקף,משרד הבינוי והשיכון,831,ירוחם,-,12/12/1991,10/09/1992,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6000181,,6
986,2828102,125/03/26,שכ מערבית  נוה נוף,תוקף,משרד הבינוי והשיכון,831,ירוחם,-,06/08/2013,11/11/2013,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6008289,,1
987,2828201,26/במ/1/79,שכ' צפונית,תוקף,משרד הבינוי והשיכון,831,ירוחם,-,03/06/1993,14/07/1994,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6002557,,800
988,2828401,4/117/03/27,רמת ספיר,תוקף,משרד הבינוי והשיכון,99,מצפה רמון,-,09/08/2000,01/03/2001,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6003745,,12
989,2828701,118/03/26,(נווה העמק (הגבעה,תוקף,משרד הבינוי והשיכון,831,ירוחם,-,23/08/2001,07/03/2002,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6003843,,4
990,2829001,223/02/2,שחמון 11,תוקף,משרד הבינוי והשיכון,2600,אילת,21/06/2004,22/03/2007,08/11/2007,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6005691,,3
991,2829201,26/במ/202,נווה נוף שכ מע+הוסט,תוקף,משרד הבינוי והשיכון,831,ירוחם,-,28/11/1996,10/04/1997,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6002708,,9
992,2829301,133/03/25,ממשית ברכה,תוקף,משרד הבינוי והשיכון,2200,דימונה,-,27/06/2002,10/12/2002,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6003939,,257
993,2829501,159/03/24,רובע 5 א,תוקף,משרד הבינוי והשיכון,2560,ערד,21/12/2015,30/05/2016,15/11/2016,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6009068,,1743
994,2829601,35/101/02/21,צפון מע צפונת א,תוקף,משרד הבינוי והשיכון,1031,שדרות,13/08/2007,08/11/2010,05/01/2012,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6006518,,419
995,2829901,201/03/5,רמות ב שכ הרכס,תוקף,משרד הבינוי והשיכון,9000,באר שבע,-,18/11/1999,12/07/2000,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6003557,,120
996,2830001,122/102/02/5,רמות ב מתחם 3,תוקף,משרד הבינוי והשיכון,9000,באר שבע,-,27/06/2002,19/12/2002,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6003941,,1424
997,2830201,138/102/03/23,"רמב""ם",תוקף,משרד הבינוי והשיכון,31,אופקים,-,19/07/2017,27/12/2017,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6009803,,116
998,2830301,4/101/02/23,"מרכז ב""ב",תוקף,משרד הבינוי והשיכון,31,אופקים,-,10/12/1992,02/09/1993,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6001728,,5
999,2830401,34/101/02/25,שכונה צפונית,תוקף,משרד הבינוי והשיכון,2200,דימונה,-,07/07/2005,03/11/2005,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6005142,,2
1000,2830501,106/108/03/5,שכונה ג בתי אבן,תוקף,משרד הבינוי והשיכון,9000,באר שבע,-,15/03/1996,06/10/1996,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6002743,,166
1001,2831101,128/102/02/5,רמות ב- מרכז,תוקף,משרד הבינוי והשיכון,9000,באר שבע,-,07/09/2004,29/03/2005,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6004330,,1088
1002,2833001,24/מק/2026,יהושפט,תוקף,משרד הבינוי והשיכון,2560,ערד,-,18/01/2001,10/07/2001,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6003776,,175
1003,2833201,2/199/03/5,רמות ב מערבית ציפוף,תוקף,משרד הבינוי והשיכון,9000,באר שבע,-,29/04/2002,04/08/2002,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6003893,,110
1004,2833401,148/102/02/5,רמות ב אצבעות ציפוף,תוקף,משרד הבינוי והשיכון,9000,באר שבע,-,03/11/2005,06/03/2006,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6005253,,1202
1005,2834701,128/03/23,רמת שקד (קרית מנחם),תוקף,משרד הבינוי והשיכון,31,אופקים,13/06/2010,26/09/2011,22/12/2011,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6006711,,9
1006,2834901,22/101/02/23,מישור הגפן,תוקף,משרד הבינוי והשיכון,31,אופקים,-,03/09/2009,29/11/2009,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=6006198,,20
