_id,טבלה,סמל_ישוב,שם_ישוב,שם_ישוב_לועזי,סמל_נפה,שם_נפה,סמל_לשכת_מנא,לשכה,סמל_מועצה_איזורית,שם_מועצה
68,טבלת ישובים    ,49,אילניה                   ,ILANIYYA                 ,22,כנרת                ,22,טבריה                    ,3,הגליל התחתון
69,טבלת ישובים    ,2600,אילת                     ,ELAT                     ,62,באר שבע             ,63,אילת                     ,0,
70,טבלת ישובים    ,1336,אירוס                    ,IRUS                     ,44,רחובות              ,44,רחובות                   ,27,גן רווה
71,טבלת ישובים    ,3762,איתמר                    ,ITAMAR                   ,72,שכם                 ,48,אריאל                    ,72,שומרון
72,טבלת ישובים    ,37,איתן                     ,ETAN                     ,61,אשקלון              ,61,אשקלון                   ,34,שפיר
73,טבלת ישובים    ,886,איתנים                   ,ETANIM                   ,11,ירושלים             ,13,בית שמש                  ,26,מטה יהודה
74,טבלת ישובים    ,478,אכסאל                    ,IKSAL                    ,23,עפולה               ,23,עפולה                    ,0,
75,טבלת ישובים    ,1359,אל סייד                  ,AL SAYYID                ,62,באר שבע             ,62,באר שבע                  ,69,אל קסום
76,טבלת ישובים    ,1339,אל-עזי                   ,AL-AZY                   ,61,אשקלון              ,61,אשקלון                   ,35,יואב
77,טבלת ישובים    ,1316,אל-עריאן                 ,AL-ARYAN                 ,32,חדרה                ,32,חדרה                     ,14,מנשה
78,טבלת ישובים    ,4003,אל-רום                   ,EL-ROM                   ,29,גולן                ,21,צפת                      ,71,גולן
79,טבלת ישובים    ,1145,אלומה                    ,ALUMMA                   ,61,אשקלון              ,61,אשקלון                   ,34,שפיר
80,טבלת ישובים    ,330,אלומות                   ,ALUMMOT                  ,22,כנרת                ,22,טבריה                    ,6,עמק הירדן
81,טבלת ישובים    ,1182,אלון הגליל               ,ALLON HAGALIL            ,23,עפולה               ,23,עפולה                    ,9,עמק יזרעאל
82,טבלת ישובים    ,3579,אלון מורה                ,ELON MORE                ,72,שכם                 ,48,אריאל                    ,72,שומרון
83,טבלת ישובים    ,3604,אלון שבות                ,ALLON SHEVUT             ,76,בית לחם             ,11,ירושלים                  ,76,גוש עציון
84,טבלת ישובים    ,429,אלוני אבא                ,ALLONE ABBA              ,23,עפולה               ,23,עפולה                    ,9,עמק יזרעאל
85,טבלת ישובים    ,4017,אלוני הבשן               ,ALLONE HABASHAN          ,29,גולן                ,22,טבריה                    ,71,גולן
86,טבלת ישובים    ,868,אלוני יצחק               ,ALLONE YIZHAQ            ,32,חדרה                ,32,חדרה                     ,14,מנשה
87,טבלת ישובים    ,285,אלונים                   ,ALLONIM                  ,23,עפולה               ,23,עפולה                    ,9,עמק יזרעאל
88,טבלת ישובים    ,4002,אלי-עד                   ,ELI AL                   ,29,גולן                ,22,טבריה                    ,71,גולן
89,טבלת ישובים    ,1365,אליאב                    ,ELIAV                    ,61,אשקלון              ,61,אשקלון                   ,50,לכיש
90,טבלת ישובים    ,41,אליכין                   ,ELYAKHIN                 ,41,השרון               ,32,חדרה                     ,0,
91,טבלת ישובים    ,1248,אליפז                    ,ELIFAZ                   ,62,באר שבע             ,63,אילת                     ,53,חבל אילות
92,טבלת ישובים    ,730,אליפלט                   ,ELIFELET                 ,21,צפת                 ,21,צפת                      ,55,מבואות החרמון
93,טבלת ישובים    ,682,אליקים                   ,ELYAQIM                  ,23,עפולה               ,23,עפולה                    ,13,מגידו
94,טבלת ישובים    ,204,אלישיב                   ,ELYASHIV                 ,41,השרון               ,32,חדרה                     ,16,עמק חפר
95,טבלת ישובים    ,841,אלישמע                   ,ELISHAMA                 ,42,פתח תקווה           ,47,כפר סבא                  ,20,דרום השרון
96,טבלת ישובים    ,1125,אלמגור                   ,ALMAGOR                  ,22,כנרת                ,22,טבריה                    ,6,עמק הירדן
97,טבלת ישובים    ,3556,אלמוג                    ,ALMOG                    ,75,ירדן )יריחו(        ,11,ירושלים                  ,74,מגילות ים המלח
98,טבלת ישובים    ,1309,אלעד                     ,EL'AD                    ,42,פתח תקווה           ,349,ראש העין                 ,0,
99,טבלת ישובים    ,3618,אלעזר                    ,EL'AZAR                  ,76,בית לחם             ,11,ירושלים                  ,76,גוש עציון
100,טבלת ישובים    ,3750,אלפי מנשה                ,ALFE MENASHE             ,73,טול כרם             ,349,ראש העין                 ,0,
101,טבלת ישובים    ,603,אלקוש                    ,ELQOSH                   ,24,עכו                 ,24,עכו                      ,52,מעלה יוסף
102,טבלת ישובים    ,3560,אלקנה                    ,ELQANA                   ,73,טול כרם             ,349,ראש העין                 ,0,
103,טבלת ישובים    ,772,אמונים                   ,EMUNIM                   ,61,אשקלון              ,61,אשקלון                   ,33,באר טוביה
104,טבלת ישובים    ,1064,אמירים                   ,AMIRIM                   ,21,צפת                 ,21,צפת                      ,2,מרום הגליל
105,טבלת ישובים    ,1253,אמנון                    ,AMNUN                    ,22,כנרת                ,22,טבריה                    ,55,מבואות החרמון
106,טבלת ישובים    ,23,אמציה                    ,AMAZYA                   ,61,אשקלון              ,61,אשקלון                   ,50,לכיש
107,טבלת ישובים    ,4012,אניעם                    ,ANI'AM                   ,29,גולן                ,22,טבריה                    ,71,גולן
108,טבלת ישובים    ,960,אסד )שבט(                ,ASAD                     ,62,באר שבע             ,62,באר שבע                  ,0,
109,טבלת ישובים    ,3754,אספר                     ,ASEFAR                   ,77,חברון               ,11,ירושלים                  ,76,גוש עציון
110,טבלת ישובים    ,529,אעבלין                   ,I'BILLIN                 ,24,עכו                 ,24,עכו                      ,0,
111,טבלת ישובים    ,963,אעצם )שבט(               ,A'SAM                    ,62,באר שבע             ,62,באר שבע                  ,0,
112,טבלת ישובים    ,959,אפיניש )שבט(             ,AFEINISH                 ,62,באר שבע             ,62,באר שבע                  ,0,
113,טבלת ישובים    ,4301,אפיק                     ,AFIQ                     ,29,גולן                ,22,טבריה                    ,71,גולן
114,טבלת ישובים    ,176,אפיקים                   ,AFIQIM                   ,22,כנרת                ,22,טבריה                    ,6,עמק הירדן
115,טבלת ישובים    ,313,אפק                      ,AFEQ                     ,24,עכו                 ,24,עכו                      ,4,מטה אשר
116,טבלת ישובים    ,3650,אפרת                     ,EFRAT                    ,76,בית לחם             ,11,ירושלים                  ,0,
117,טבלת ישובים    ,701,ארבל                     ,ARBEL                    ,22,כנרת                ,22,טבריה                    ,3,הגליל התחתון
118,טבלת ישובים    ,3598,ארגמן                    ,ARGAMAN                  ,75,ירדן )יריחו(        ,23,עפולה                    ,75,ערבות הירדן
119,טבלת ישובים    ,714,ארז                      ,EREZ                     ,61,אשקלון              ,61,אשקלון                   ,37,שער הנגב
120,טבלת ישובים    ,3570,אריאל                    ,ARI'EL                   ,73,טול כרם             ,48,אריאל                    ,0,
121,טבלת ישובים    ,1324,ארסוף                    ,ARSUF                    ,41,השרון               ,41,נתניה                    ,19,חוף השרון
